date,days_post_first_lockdown,day_of_week,holiday,region,stringency_index,driving,walking,transit,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,numtotal,numdeaths,numactive,numtoday,ratetotal,ratetested
2020-03-16,5,0,0,Nova Scotia,43.52,-14.209999999999994,-21.75,-41.05,-5.0,34.0,20.0,-27.0,-29.0,9.0,3,0.0,3.0,3,0.31,1107.0
2020-03-17,6,1,0,Nova Scotia,43.52,-18.519999999999996,-28.340000000000003,-49.78,-22.0,15.0,21.0,-33.0,-37.0,12.0,5,0.0,5.0,2,0.51,1107.0
2020-03-18,7,2,0,Nova Scotia,61.11,-21.75,-24.870000000000005,-54.2,-30.0,0.0,71.0,-36.0,-42.0,14.0,7,0.0,7.0,2,0.72,1316.0
2020-03-19,8,3,0,Nova Scotia,61.11,-24.310000000000002,-33.68000000000001,-58.58,-30.0,4.0,86.0,-42.0,-44.0,14.0,14,0.0,14.0,7,1.44,1565.0
2020-03-20,9,4,0,Nova Scotia,71.3,-29.099999999999994,-42.91,-69.6,-43.0,-8.0,-22.0,-49.0,-47.0,19.0,15,0.0,15.0,1,1.54,1695.0
2020-03-21,10,5,0,Nova Scotia,71.3,-20.989999999999995,-37.49,-70.57,-49.0,-21.0,88.0,-38.0,-34.0,11.0,21,0.0,21.0,6,2.16,2014.0
2020-03-22,11,6,0,Nova Scotia,71.3,-49.1,-59.47,-76.88,-34.0,4.0,83.0,-38.0,-25.0,4.0,28,0.0,28.0,7,2.88,2275.0
2020-03-23,12,0,0,Nova Scotia,72.69,-47.32,-52.85,-74.11,-50.0,-21.0,-16.0,-58.0,-55.0,19.0,41,0.0,41.0,13,4.22,2479.0
2020-03-24,13,1,0,Nova Scotia,72.69,-60.39,-64.72999999999999,-79.94,-65.0,-39.0,-54.0,-66.0,-61.0,24.0,51,0.0,51.0,10,5.25,2719.0
2020-03-25,14,2,0,Nova Scotia,72.69,-43.29,-46.49,-74.27,-51.0,-21.0,-7.0,-57.0,-58.0,20.0,68,0.0,68.0,17,7.0,3097.0
2020-03-26,15,3,0,Nova Scotia,72.69,-56.17,-59.52,-76.92,-58.0,-30.0,-47.0,-69.0,-59.0,22.0,73,0.0,71.0,5,7.51,3518.0
2020-03-27,16,4,0,Nova Scotia,72.69,-45.28,-54.05,-78.17,-55.0,-24.0,-42.0,-65.0,-57.0,24.0,90,0.0,88.0,17,9.27,4062.0
2020-03-28,17,5,0,Nova Scotia,72.69,-42.5,-40.84,-81.3,-56.0,-29.0,-4.0,-52.0,-42.0,14.0,110,0.0,106.0,20,11.32,4619.0
2020-03-29,18,6,0,Nova Scotia,72.69,-53.48,-47.43,-80.94,-33.0,-7.0,95.0,-45.0,-32.0,5.0,122,0.0,118.0,12,12.56,5131.0
2020-03-30,19,0,0,Nova Scotia,72.69,-48.11,-53.16,-77.32,-52.0,-26.0,-31.0,-64.0,-59.0,21.0,127,0.0,117.0,5,13.07,5654.0
2020-03-31,20,1,0,Nova Scotia,72.69,-49.95,-56.61,-73.74,-53.0,-25.0,-40.0,-66.0,-60.0,22.0,147,0.0,137.0,20,15.13,6809.0
2020-04-01,21,2,0,Nova Scotia,74.54,-50.0,-53.59,-75.19,-55.0,-30.0,-38.0,-66.0,-60.0,22.0,173,0.0,162.0,26,17.81,7623.0
2020-04-02,22,3,0,Nova Scotia,74.54,-51.8,-61.1,-80.82,-56.0,-32.0,-51.0,-74.0,-60.0,22.0,193,0.0,177.0,20,19.87,8296.0
2020-04-03,23,4,0,Nova Scotia,74.54,-41.57,-51.44,-82.43,-53.0,-27.0,-52.0,-69.0,-58.0,24.0,207,0.0,207.0,14,21.31,9058.0
2020-04-04,24,5,0,Nova Scotia,72.69,-48.5,-54.54,-83.51,-59.0,-36.0,-44.0,-61.0,-44.0,16.0,236,0.0,236.0,29,24.29,10008.0
2020-04-05,25,6,0,Nova Scotia,72.69,-55.41,-58.45,-81.14,-38.0,-15.0,44.0,-51.0,-33.0,5.0,262,0.0,212.0,26,26.97,10381.0
2020-04-06,26,0,0,Nova Scotia,72.69,-47.27,-46.38,-75.27,-51.0,-27.0,-24.0,-66.0,-59.0,21.0,293,0.0,229.0,31,30.16,11054.0
2020-04-07,27,1,0,Nova Scotia,72.69,-46.53,-51.7,-76.36,-53.0,-25.0,-35.0,-67.0,-60.0,21.0,310,0.0,310.0,17,31.91,11899.0
2020-04-08,28,2,0,Nova Scotia,72.69,-42.54,-46.38,-80.58,-49.0,-20.0,-29.0,-66.0,-60.0,21.0,342,1.0,341.0,32,35.21,12427.0
2020-04-09,29,3,0,Nova Scotia,72.69,-35.459999999999994,-42.6,-77.93,-36.0,2.0,-19.0,-65.0,-60.0,19.0,373,2.0,371.0,31,38.4,13429.0
2020-04-10,30,4,1,Nova Scotia,72.69,-57.25,-63.3,-82.75,-84.0,-75.0,-68.0,-83.0,-83.0,33.0,407,2.0,405.0,34,41.9,14290.0
2020-04-11,31,5,0,Nova Scotia,72.69,-47.82,-52.9,-84.12,-55.0,-21.0,-55.0,-62.0,-46.0,16.0,428,2.0,426.0,21,44.06,14938.0
2020-04-12,32,6,0,Nova Scotia,72.69,-63.33,-62.46,-85.48,-71.0,-65.0,27.0,-60.0,-44.0,7.0,445,2.0,443.0,17,45.81,15780.0
2020-04-13,33,0,0,Nova Scotia,72.69,-51.05,-53.77,-81.62,-56.0,-34.0,-43.0,-75.0,-68.0,24.0,474,3.0,471.0,29,48.8,17035.0
2020-04-14,34,1,0,Nova Scotia,72.69,-38.6,-39.99,-80.78,-49.0,-26.0,-15.0,-66.0,-60.0,21.0,517,3.0,514.0,43,53.22,17992.0
2020-04-15,35,2,0,Nova Scotia,72.69,-40.1,-53.46,-79.82,-50.0,-29.0,-46.0,-68.0,-61.0,22.0,549,3.0,546.0,32,56.52,18782.0
2020-04-16,36,3,0,Nova Scotia,72.69,-35.230000000000004,-37.95,-80.9,-45.0,-23.0,-23.0,-67.0,-59.0,21.0,579,3.0,576.0,30,59.61,19806.0
2020-04-17,37,4,0,Nova Scotia,72.69,-33.34,-40.94,-80.74,-50.0,-27.0,-41.0,-68.0,-58.0,24.0,606,4.0,602.0,27,62.38,21034.0
2020-04-18,38,5,0,Nova Scotia,72.69,-41.14,-52.8,-81.83,-57.0,-35.0,-54.0,-64.0,-41.0,15.0,649,7.0,458.0,43,66.81,21992.0
2020-04-19,39,6,0,Nova Scotia,72.69,-10.439999999999998,-56.35,-79.45,-44.0,-25.0,10.0,-63.0,-33.0,6.0,675,9.0,466.0,26,69.49,22678.0
2020-04-20,40,0,0,Nova Scotia,72.69,-23.08,-41.25,-79.9,-46.0,-26.0,-19.0,-68.0,-58.0,20.0,721,9.0,464.0,46,74.22,23337.0
2020-04-21,41,1,0,Nova Scotia,72.69,-27.310000000000002,-38.84,-79.25,-45.0,-23.0,-13.0,-66.0,-59.0,20.0,737,10.0,441.0,16,75.87,23946.0
2020-04-22,42,2,0,Nova Scotia,72.69,-30.17,-47.76,-79.45,-49.0,-30.0,-42.0,-69.0,-59.0,22.0,772,12.0,430.0,35,79.47,24866.0
2020-04-23,43,3,0,Nova Scotia,72.69,-28.430000000000007,-41.5,-78.97,-46.0,-23.0,-27.0,-69.0,-58.0,20.0,827,16.0,453.0,55,85.14,25617.0
2020-04-24,44,4,0,Nova Scotia,72.69,-12.299999999999997,-42.91,-77.6,-54.0,-32.0,-43.0,-69.0,-56.0,23.0,850,16.0,442.0,23,87.5,26414.0
2020-04-25,45,5,0,Nova Scotia,72.69,-31.090000000000003,-40.79,-81.22,-51.0,-30.0,-19.0,-56.0,-39.0,13.0,865,22.0,431.0,15,89.05,27095.0
2020-04-26,46,6,0,Nova Scotia,72.69,-43.81,-50.93,-79.09,-25.0,-5.0,60.0,-49.0,-27.0,4.0,873,24.0,410.0,8,89.87,27662.0
2020-04-27,47,0,0,Nova Scotia,72.69,-39.0,-57.27,-80.06,-48.0,-29.0,-51.0,-74.0,-58.0,22.0,900,24.0,367.0,27,92.65,28245.0
2020-04-28,48,1,0,Nova Scotia,72.69,-43.15,-55.18,-81.46000000000001,-55.0,-32.0,-57.0,-74.0,-61.0,20.0,915,27.0,366.0,15,94.19,28936.0
2020-04-29,49,2,0,Nova Scotia,72.69,-24.700000000000003,-36.29,-79.25,-40.0,-18.0,-21.0,-62.0,-58.0,20.0,935,28.0,378.0,20,96.25,29577.0
2020-04-30,50,3,0,Nova Scotia,72.69,-20.659999999999997,-31.459999999999994,-74.51,-37.0,-15.0,3.0,-62.0,-56.0,18.0,947,28.0,374.0,12,97.49,30287.0
2020-05-01,51,4,0,Nova Scotia,72.69,-15.409999999999997,-33.349999999999994,-78.97,-43.0,-21.0,-26.0,-63.0,-55.0,22.0,959,29.0,338.0,12,98.72,31037.0
2020-05-02,52,5,0,Nova Scotia,72.69,-28.790000000000006,-42.93,-77.68,-50.0,-31.0,-20.0,-60.0,-39.0,14.0,963,31.0,323.0,4,99.14,31680.0
2020-05-03,53,6,0,Nova Scotia,72.69,-30.430000000000007,-32.86,-70.73,-13.0,2.0,307.0,-33.0,-23.0,2.0,971,37.0,310.0,8,99.96,32111.0
2020-05-04,54,0,0,Nova Scotia,72.69,-27.879999999999995,-39.15,-74.02,-40.0,-22.0,1.0,-68.0,-56.0,19.0,985,38.0,309.0,14,101.4,32501.0
2020-05-05,55,1,0,Nova Scotia,72.69,-19.239999999999995,-33.61,-75.35,-40.0,-20.0,3.0,-66.0,-57.0,20.0,991,41.0,298.0,6,102.02,33093.0
2020-05-06,56,2,0,Nova Scotia,72.69,-9.349999999999994,-21.489999999999995,-74.63,-35.0,-18.0,85.0,-59.0,-56.0,18.0,998,41.0,296.0,7,102.74,33837.0
2020-05-07,57,3,0,Nova Scotia,72.69,-21.590000000000003,-37.31,-74.91,-40.0,-18.0,-12.0,-71.0,-56.0,20.0,1007,44.0,255.0,9,103.67,34529.0
2020-05-08,58,4,0,Nova Scotia,72.69,-2.3799999999999955,-24.64,-74.35,-38.0,-13.0,46.0,-60.0,-52.0,20.0,1008,46.0,240.0,1,103.77,35085.0
